"commercialAreaCode","commercialAreaName","stationQuery","stationName","lineName","apiAddressName","stationLatitude","stationLongitude","distanceMeters","verificationStatus","apiPagesFetched","apiFinalPageIsEnd","apiErrorStatus"
"3120001","서대문역","서대문역","서대문역","5호선","서울 종로구 평동 210","37.56575193662503","126.96663755850754","114","MATCHED","1","True",""
"3120002","서촌(경복궁역)","경복궁역","경복궁역","3호선","서울 종로구 적선동 81-1","37.5758061234865","126.973691352767","420","MATCHED","1","True",""
"3120003","광화문역","광화문역","광화문역","5호선","서울 종로구 세종로 1-68","37.57164860977568","126.97642427981408","165","MATCHED","1","True",""
"3120006","종각역","종각역","종각역","1호선","서울 종로구 종로1가 54","37.570227990912244","126.98315081716676","35","MATCHED","1","True",""
"3120007","북촌(안국역)","안국역","안국역","3호선","서울 종로구 안국동 73-1","37.57650192060523","126.98542143228659","297","MATCHED","1","True",""
"3120009","종로3가역","종로3가역","종로3가역","3호선","서울 종로구 묘동 20-5","37.571563287751246","126.9918757981544","105","MATCHED","1","True",""
"3120009","종로3가역","종로3가역","종로3가역","5호선","서울 종로구 돈의동 39-1","37.57258941181964","126.9904176797898","107","MATCHED","1","True",""
"3120009","종로3가역","종로3가역","종로3가역","1호선","서울 종로구 종로3가 10-5","37.570420844523","126.992153252476","188","MATCHED","1","True",""
"3120012","대학로(혜화역)","혜화역","혜화역","4호선","서울 종로구 명륜4가 96-5","37.58204391787134","127.00194500977393","95","MATCHED","1","True",""
"3120014","종로5가역","종로5가역","종로5가역","1호선","서울 종로구 종로5가 82-1","37.57097610838373","127.00153834521934","124","MATCHED","1","True",""
"3120016","동대문역","동대문역","동대문역","4호선","서울 종로구 종로6가 287-1","37.5709072753658","127.009313828405","185","MATCHED","2","True",""
"3120016","동대문역","동대문역","동대문역","1호선","서울 종로구 창신동 492-1","37.57166940579655","127.0106338108367","82","MATCHED","2","True",""
"3120017","동묘앞역(동묘)","동묘앞역","동묘앞역","6호선","서울 종로구 숭인동 316-3","37.5721715926337","127.015725557994","114","MATCHED","1","True",""
"3120017","동묘앞역(동묘)","동묘앞역","동묘앞역","1호선","서울 종로구 숭인동 117","37.5732166600283","127.016364227103","160","MATCHED","1","True",""
"3120020","시청역_1번","시청역","시청역","2호선","서울 중구 서소문동 90-1","37.56368183746611","126.97559827045151","105","MATCHED","1","True",""
"3120020","시청역_1번","시청역","시청역","1호선","서울 중구 정동 5-5","37.56534539636417","126.97719821079865","269","MATCHED","1","True",""
"3120021","시청역_8번","시청역","시청역","2호선","서울 중구 서소문동 90-1","37.56368183746611","126.97559827045151","245","MATCHED","1","True",""
"3120021","시청역_8번","시청역","시청역","1호선","서울 중구 정동 5-5","37.56534539636417","126.97719821079865","476","MATCHED","1","True",""
"3120022","북창동(시청역_6번)","시청역","시청역","2호선","서울 중구 서소문동 90-1","37.56368183746611","126.97559827045151","195","MATCHED","1","True",""
"3120022","북창동(시청역_6번)","시청역","시청역","1호선","서울 중구 정동 5-5","37.56534539636417","126.97719821079865","261","MATCHED","1","True",""
"3120024","회현역","회현역","회현역","4호선","서울 중구 남창동 64-1","37.55876114587941","126.9784372569283","166","MATCHED","1","True",""
"3120026","을지로입구역","을지로입구역","을지로입구역","2호선","서울 중구 을지로1가 100-1","37.566035517712955","126.9821953112953","186","MATCHED","1","True",""
"3120027","명동역(명동재미로)","명동역","명동역","4호선","서울 중구 충무로2가 109-2","37.56096526943837","126.98640235001736","266","MATCHED","1","True",""
"3120031","을지로3가역","을지로3가역","을지로3가역","2호선","서울 중구 을지로3가 347-3","37.56629149790628","126.99098443539428","56","MATCHED","1","True",""
"3120031","을지로3가역","을지로3가역","을지로3가역","3호선","서울 중구 을지로3가 282-8","37.5664312655685","126.992615486076","91","MATCHED","1","True",""
"3120032","충무로역","충무로역","충무로역","4호선","서울 중구 필동2가 16-2","37.56151106015413","126.9952553883253","30","MATCHED","1","True",""
"3120032","충무로역","충무로역","충무로역","3호선","서울 중구 필동2가 16-2","37.56139658395457","126.99414960395544","70","MATCHED","1","True",""
"3120033","을지로4가역","을지로4가역","을지로4가역","5호선","서울 중구 주교동 191","37.567564032148596","126.99804517954063","141","MATCHED","1","True",""
"3120033","을지로4가역","을지로4가역","을지로4가역","2호선","서울 중구 을지로4가 267-1","37.5666405038268","126.997632059113","86","MATCHED","1","True",""
"3120037","동대문역사문화공원역","동대문역사문화공원역","동대문역사문화공원역","2호선","서울 중구 을지로7가 112-3","37.56566440553802","127.00900417014896","145","MATCHED","1","True",""
"3120037","동대문역사문화공원역","동대문역사문화공원역","동대문역사문화공원역","5호선","서울 중구 광희동1가 235-6","37.56462215427451","127.00579179092047","168","MATCHED","1","True",""
"3120037","동대문역사문화공원역","동대문역사문화공원역","동대문역사문화공원역","4호선","서울 중구 광희동2가 9","37.565033800640144","127.00769790634796","55","MATCHED","1","True",""
"3120038","약수역","약수역","약수역","6호선","서울 중구 신당동 369-2","37.5539252226626","127.010153707232","41","MATCHED","1","True",""
"3120038","약수역","약수역","약수역","3호선","서울 중구 신당동 369-44","37.5545053994984","127.010891666957","80","MATCHED","1","True",""
"3120039","신당역","신당역","신당역","2호선","서울 중구 신당동 99","37.5656730531732","127.019477533278","332","MATCHED","1","True",""
"3120039","신당역","신당역","신당역","6호선","서울 중구 흥인동 162-1","37.56609251486158","127.01617590593352","84","MATCHED","1","True",""
"3120040","용산전자상가(용산역)","용산역","용산역","1호선","서울 용산구 한강로3가 40-999","37.52977356999725","126.96462961258051","474","MATCHED","2","True",""
"3120040","용산전자상가(용산역)","용산역","용산역","경의중앙선","서울 용산구 한강로3가 40-999","37.52960692295435","126.96475753303035","496","MATCHED","2","True",""
"3120041","신용산역(용산역)","용산역","용산역","1호선","서울 용산구 한강로3가 40-999","37.52977356999725","126.96462961258051","143","MATCHED","2","True",""
"3120041","신용산역(용산역)","용산역","용산역","경의중앙선","서울 용산구 한강로3가 40-999","37.52960692295435","126.96475753303035","143","MATCHED","2","True",""
"3120042","숙대입구역(남영역, 남영동)","남영역","남영역","1호선","서울 용산구 갈월동 96-1","37.540566672483216","126.97133096608212","191","MATCHED","1","True",""
"3120043","서울역","서울역","서울역","GTX-A","서울 중구 봉래동2가 166-1","37.5554875216741","126.972636930856","100","MATCHED","3","True",""
"3120043","서울역","서울역","서울역","경의중앙선","서울 중구 봉래동2가 122-28","37.55693330961779","126.9713179064219","157","MATCHED","3","True",""
"3120043","서울역","서울역","서울역","4호선","서울 용산구 동자동 14-151","37.553027798935524","126.97264235696984","371","MATCHED","3","True",""
"3120043","서울역","서울역","서울역","공항철도","서울 용산구 동자동 43-205","37.55332892758497","126.96974961781686","438","MATCHED","3","True",""
"3120043","서울역","서울역","서울역","1호선","서울 중구 남대문로5가 73-6","37.55597933890212","126.97209238331357","86","MATCHED","3","True",""
"3120044","삼각지역","삼각지역","삼각지역","6호선","서울 용산구 한강로1가 228-1","37.53560639488231","126.97405509443837","200","MATCHED","1","True",""
"3120044","삼각지역","삼각지역","삼각지역","4호선","서울 용산구 한강로1가 228-1","37.5344393447708","126.972922951307","66","MATCHED","1","True",""
"3120046","이태원(이태원역)","이태원역","이태원역","6호선","서울 용산구 이태원동 119-23","37.5345252050511","126.994333861918","60","MATCHED","1","True",""
