recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-ADGNA6VPTL4XB47QD6G7JPQW6N,경안동주민센터,1138,37.4091995,127.2567502
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-6SOVRBI2ER2TRVOSICCEC74ONY,용인역북우편취급국,782,37.2363228,127.2054005
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-CK5C3EXCIXFH3SYGXF7DA2MSAS,야탑1동주민센터,710,37.4117507,127.1305758
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-KWZZL4YUVLIA7KLZFEYAF2QSAU,시흥정왕동우체국,706,37.3457803,126.7499519
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-YLVPWMGBKQK4LRZSXZUTC4T7X3,동탄119안전센터,671,37.2063042,127.0733994
EXCLUDE,도로·길 원본 구간명,,GGD-U22ZGJESYMBUI4A5MA3XWTVCYL,오목로225번길_1,658,37.7449596,127.0962256
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-5RA2KNC5CAEVWUBPCINYBGXPDJ,파주금촌동우체국,654,37.7614880,126.7737193
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-WXBKKNLNFTERF2NR7E3H6WZD7D,오산신장동우편취급국,598,37.1567551,127.0652701
EXCLUDE,도로·길 원본 구간명,,GGD-ZWZG6VCLCBJS7OWZWGZLGKOP5M,광덕대로_2,597,37.3106871,126.8313453
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-HSQ2YRTLRMNMBGMVPY524NYSHB,심곡본1동주민센터,572,37.4813392,126.7813146
EXCLUDE,도로·길 원본 구간명,,GGD-ARLQQRPTWMVGVXWGWLQ3LSY7GH,상일로,550,37.4900305,126.7558101
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-UFP3A2XF7YNJJOCWTV7K6MIML6,심곡119센터,546,37.4880000,126.7814005
EXCLUDE,도로·길 원본 구간명,,GGD-SO3XJZRYDGGEWOD7B7RBRPSFV2,평촌대로_1,545,37.3838201,126.9613899
EXCLUDE,도로·길 원본 구간명,,GGD-KZQXEPX2W3ELICXOPFWRZDZF4K,풍덕천로_3,539,37.3245511,127.0961515
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-VU65MU5OJCZ4KO6X6HANO2USQY,남양주장현우편취급국,525,37.7184747,127.1831329
EXCLUDE,도로·길 원본 구간명,,GGD-3HXAVFUM64TFHEIM723PIK6QFZ,원곡로_1,502,37.3302523,126.7918468
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-JEOFVCY25XJQO2G4PMGSZ2RWTB,신장1동주민센터,498,37.5388702,127.2069821
EXCLUDE,도로·길 원본 구간명,,GGD-MY2YVH7BYZF5T63UI72FKZLHU3,구갈로60번길,489,37.2811222,127.1122707
EXCLUDE,도로·길 원본 구간명,,GGD-4TZAG6EQCKMS7MGRX55AIV2PFN,호국로_2,486,37.6567316,126.8377054
EXCLUDE,도로·길 원본 구간명,,GGD-ZY3677HB6Z6Y2BIK2TJ6KKRXBM,문향로,474,37.8600195,126.7864765
EXCLUDE,도로·길 원본 구간명,,GGD-OTLWFGWHN37BNLDEPAA2ZMVUGG,금빛로,458,37.7518310,126.7671863
EXCLUDE,도로·길 원본 구간명,,GGD-L52VFRJBK6ZSUSJMTHON3CKRCB,비전5로_1,453,37.0001677,127.1147062
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-M7A46VWYSGDCQF2PU4QGGIL656,성남태평동우체국,449,37.4438475,127.1359715
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-EQNRG5DFPZSKVFWMTWVVXJ2NNN,신봉동주민센터,442,37.3219524,127.0784143
EXCLUDE,도로·길 원본 구간명,,GGD-3V4GWR5L3PIXE4PUKBMJQZQEHU,동탄반송1길,429,37.2095688,127.0630164
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-7CMIHLXST3Q3P5OVJBSH7RKIQT,운동장지구대,421,37.4044164,126.9549541
EXCLUDE,도로·길 원본 구간명,,GGD-MOXFQM7OJEUSY4TKOCQRFCG4PT,평촌대로_2,420,37.3829008,126.9594834
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-ESX2X2R6PSF6IE7DDDKLVJKFQR,화성와우우편취급국,413,37.2153874,126.9776293
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-J7HOWPTPRW4JAJEKZV2QRZ5OVJ,안산고잔1동우체국,411,37.3089722,126.8312005
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-2XXHK6VJNBKREOMYFPGJRJHUE2,발안파출소,407,37.1323476,126.9081945
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-TY2GONYXTHCAWLR6TKKRXPTWSF,경기남양우체국,402,37.2095091,126.8167594
EXCLUDE,도로·길 원본 구간명,,GGD-OU5QJRLDAJTHLXMOBTWTR5GOR7,광덕대로_1,400,37.3136204,126.8287659
EXCLUDE,도로·길 원본 구간명,,GGD-6EZXAC7TJZBA7ATNXOQAKXJQR3,만현로,398,37.3080959,127.0848779
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-HL3YUNUTQZ7LTCD637UCNUPOWH,인창지구대,397,37.6047815,127.1410839
EXCLUDE,도로·길 원본 구간명,,GGD-YEM7ILD5YQUIKCMFVSUUXO5GET,청사로47번길,395,37.7519679,127.0690122
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-ZHRVISMQDURNRCWVXJQ2NASJAN,복정동주민센터,390,37.4608419,127.1272654
EXCLUDE,도로·길 원본 구간명,,GGD-BLD4T52PYPKSEYC2VWWXERPQLZ,김포한강4로,389,37.6442667,126.6673646
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-UMR27PVMHAGHRYK4FSZ5CMQ2JU,수원화서아파트우편취급국,383,37.2786364,127.0007786
EXCLUDE,도로·길 원본 구간명,,GGD-YQOV7LSKRPZVERJI3QDXAV73F3,조마루로291번길,379,37.4991675,126.7762034
EXCLUDE,도로·길 원본 구간명,,GGD-J7X4BOBBTOADWGOXDXI54ST7J7,효원로,376,37.2594536,127.0443021
EXCLUDE,도로·길 원본 구간명,,GGD-4BJLHVA2P3E6QYUDQTX6B5VHWL,반달로7번길,372,37.2527234,127.0747892
EXCLUDE,도로·길 원본 구간명,,GGD-RCGR3L2PYV6WS5B5HJXO6JWENS,숲속마을로,369,37.6676287,126.8002923
EXCLUDE,도로·길 원본 구간명,,GGD-ZTPFWFPXLBBF7SUM4F2OY2JUOR,무궁화로_1,367,37.6629984,126.7652791
EXCLUDE,도로·길 원본 구간명,,GGD-GRCUTOQDI42VP2QRXCPDLW7DAT,지행로,364,37.8917992,127.0535971
EXCLUDE,도로·길 원본 구간명,,GGD-R2JYI7JCL43DJYYA2Q7QNZ7VCF,초지로,364,37.3074028,126.8158382
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-7OJ6IQP6DCFNYMR53PJ3O2332F,안산이동우체국,360,37.3073533,126.8510374
EXCLUDE,도로·길 원본 구간명,,GGD-ASKGLUDRLAZWFVUO75OCJPPOKG,아주로,358,37.2765597,127.0444721
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-MOENV4D3TWBSBLEMEVI24CFB5D,금촌119안전센터,357,37.7568604,126.7773388
EXCLUDE,도로·길 원본 구간명,,GGD-RT6HUIISP6V5LK3JKTQFO6MTI2,효행로_2,356,37.2141850,127.0389608
EXCLUDE,도로·길 원본 구간명,,GGD-AYSZSIOP2DXP7KZOUO3YIR44XV,송내대로73번길,351,37.4899424,126.7525545
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-UWKBP2RVIXWIKNVZLXBHHRHMAY,수원권선주공우편취급국,346,37.2566275,127.0242419
EXCLUDE,도로·길 원본 구간명,,GGD-6AJAJX2RKCDUXMT5XMVVFXHAPR,엘에스로_1,338,37.3723052,126.9519213
EXCLUDE,도로·길 원본 구간명,,GGD-TD5SGDSXPANTRWLYJ5FWXTYTMO,풍덕천로_1,337,37.3218102,127.0952844
EXCLUDE,도로·길 원본 구간명,,GGD-IF5LKNJXEXNJFL3UTVU75YUN4C,광덕4로_2,332,37.3134362,126.8386567
EXCLUDE,도로·길 원본 구간명,,GGD-DX6OTM6F6URMHV4XHBBGAKUN7W,예술광장로,329,37.3289903,126.8446402
EXCLUDE,도로·길 원본 구간명,,GGD-Z742667TBPGDL3ZUOOJIRNGTJJ,별내5로5번길,327,37.6514247,127.1141691
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-H4MJ3Z7XUZ5YQZXC34A3IBB2S2,수원북문우체국,325,37.2914387,127.0143952
EXCLUDE,도로·길 원본 구간명,,GGD-4U22FL2NZI7MLTCP3DMUA7GDMI,대청로,324,37.5406170,127.2128108
EXCLUDE,도로·길 원본 구간명,,GGD-CEHAEANDQAO2DCR7XCTJ3ZSBCL,충장로,324,37.6139204,126.8350654
