recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
KEEP,카카오 SW8 검증 역세권,,GGD-2S3HFLTGVKIZJBUMNH2QRCJNDA,산본역_3번출구,1578,37.3600409,126.9314254
KEEP,상업시설·시장 계열,,GGD-KQ5TVSTGMIMVWU26ATE3KVDYQJ,이마트동백점,1549,37.2765740,127.1513476
KEEP,카카오 SW8 검증 역세권,,GGD-TNYOLABZF4BVHSPEJRLLB4CZHE,수원시청역_7번출구,1404,37.2648464,127.0294507
KEEP,카카오 SW8 검증 역세권,,GGD-GEIHGMHNLBEFE3B7GCI4KFQP5U,신중동역_3번출구,1400,37.5021214,126.7726339
KEEP,카카오 SW8 검증 역세권,,GGD-EJMTOPMOTRZB574JIQ46L57N45,서현역,1275,37.3850794,127.1234387
KEEP,카카오 SW8 검증 역세권,,GGD-MP6JQQY2ZCRLGTP4TZKDF3VBDO,수내역,1208,37.3786252,127.1144517
KEEP,카카오 SW8 검증 역세권,,GGD-OQFUCLXGOX57ZDFZTWQAC7ZTIV,범계역_1번출구,992,37.3907451,126.9536420
KEEP,카카오 SW8 검증 역세권,,GGD-EGIQ3TO24HKE5W5HHKT3YQNEV5,모란역_12번출구,924,37.4316419,127.1318861
KEEP,상업시설·시장 계열,,GGD-2CI6XS3QRK3RGFTXUOT6FBSFA5,롯데시네마센트럴락,901,37.3177261,126.8397940
KEEP,상업시설·시장 계열,,GGD-M23GSOXCWQAYBCC5LQQ3UJNSLF,롯데애비뉴엘안산점,821,37.3180300,126.8351265
KEEP,상업시설·시장 계열,,GGD-UQAYZ6X3KY4ARCMF7WH4DFQA37,롯데시네마병점,787,37.2111794,127.0377053
KEEP,카카오 SW8 검증 역세권,,GGD-VG35LH34LY4XP56M2GHI5EH5SU,상동역_3번출구,732,37.5047420,126.7503863
KEEP,카카오 SW8 검증 역세권,,GGD-MFKNPVQUTAMSETRTEE57LIHRXC,정발산역,720,37.6572358,126.7712636
KEEP,카카오 SW8 검증 역세권,,GGD-BLVFAV77CHMRO7Y7J636C6OK24,마석역,705,37.6543076,127.3062056
KEEP,카카오 SW8 검증 역세권,,GGD-YMKEVY33RNMZVBDHZCSUT6JNJM,광명사거리역,696,37.4815845,126.8566465
KEEP,상업시설·시장 계열,,GGD-FGU7HFVTO2KPBWACSWUAXB33RJ,뉴코아아울렛동수원점,694,37.2638668,127.0346274
KEEP,상업시설·시장 계열,,GGD-KCUX4ZTHSGQNEHIJ3K4GGRKINN,롯데시네마송탄,681,37.0684330,127.0587263
KEEP,카카오 SW8 검증 역세권,,GGD-GVDXVIOMOR3LCJT2LPO4WQPQIM,수원역_7번출구,672,37.2683651,127.0024235
KEEP,카카오 SW8 검증 역세권,,GGD-3BKWAFIJE2QZ4LIQRAMR7P5V7J,부천시청역_3번출구,667,37.5034266,126.7612904
KEEP,상업시설·시장 계열,,GGD-Z3YFYCIZ5ZMM6HLDS7ZFGECI2M,CGV판교,663,37.3927690,127.1113020
KEEP,카카오 SW8 검증 역세권,,GGD-II7BN3VX5N3U6TODVTKEQORXVS,범계역,640,37.3897930,126.9506395
KEEP,카카오 SW8 검증 역세권,,GGD-MUYOLWPBKVB5J46L7IH4E7QM6X,주엽역,638,37.6705453,126.7616282
KEEP,상업시설·시장 계열,,GGD-NJJQHLS7MKC2JCUVPAYAJZRGOQ,수원영동시장,623,37.2778540,127.0178274
KEEP,상업시설·시장 계열,,GGD-VPC5Z4IJPZA47XYDTUXFFEYWDM,평택국제중앙시장,618,37.0812717,127.0515379
KEEP,카카오 SW8 검증 역세권,,GGD-JYIGYOTPNLHP42IE2DMUBJSRLA,수원역,606,37.2659797,126.9984547
KEEP,상업시설·시장 계열,,GGD-WK4JSZZODKA7JTLZ2UJWT7KXCZ,이마트김포한강점,606,37.6449297,126.6274222
KEEP,카카오 SW8 검증 역세권,,GGD-4YY7ZYNAPVM6TL6A74OXNS3FTP,정부과천청사역,601,37.4271073,126.9920412
KEEP,카카오 SW8 검증 역세권,,GGD-DLGHOXBQIWUTW3XMAMDC3BQKDD,상동역_1번출구,599,37.5064643,126.7559288
KEEP,카카오 SW8 검증 역세권,,GGD-U4FDAZTMTZKBQUT4LJCR373AVD,평촌역,598,37.3938382,126.9623868
KEEP,상업시설·시장 계열,,GGD-W7RWUP3I2LVIIYUPHG5OIVUZWT,롯데애비뉴엘일산점,597,37.6616289,126.7704190
KEEP,카카오 SW8 검증 역세권,,GGD-HB42AESOHAN2SNW5TTSKP5ABNB,철산역_1번출구,577,37.4750927,126.8687981
KEEP,카카오 SW8 검증 역세권,,GGD-OZRHQG2CBIGTEM5JQI7DB7UVBT,상동역,575,37.5069437,126.7508183
KEEP,상업시설·시장 계열,,GGD-U4LWXRIQKNDZQXPNZJTCYUMVKJ,통복시장,540,36.9969672,127.0867574
KEEP,카카오 SW8 검증 역세권,,GGD-5WASCC6YJKXQQQZQL76IWUJID4,야탑역,535,37.4111734,127.1273871
KEEP,카카오 SW8 검증 역세권,,GGD-VPFKWWGPJRFQL52YUPEO2UA64N,의정부역,527,37.7360638,127.0469692
KEEP,카카오 SW8 검증 역세권,,GGD-LZQINBENQWZTNTG4Y3OX3T4X4C,마두역,526,37.6521001,126.7783463
KEEP,상업시설·시장 계열,,GGD-X2ZLMEAIODDBQXHJ6WKG73T3PW,홈플러스안산고잔점,506,37.3106950,126.8285192
KEEP,카카오 SW8 검증 역세권,,GGD-IWBS2LOWQPOOU4JL25XKZ6JUIQ,인덕원역_6번출구,475,37.4005118,126.9751670
