recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-RARKV2P5IGS75LZMKYMJ6ZFQ7K,오산고속터미널,1156,37.1442444,127.0695467
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-HRG2ZPOGOSU4DJOROXPRCUL6U3,고양고속터미널,956,37.6326749,126.8322101
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-SZ6MWW55ILUO4BKER5U6JFEER4,라페스타라페스타,805,37.6603652,126.7678488
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-WEWNQOX7ETGUSZNM4SRJOXB2PL,삼원프라자호텔,771,37.4006156,126.9211388
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-FD4VUDGSRCOZ5YMIJFTIPA6WXU,구리시외버스정류장,751,37.5991386,127.1380657
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-DUOZKJDWFO6QDCXCF7EOZWBKFP,전곡시외버스터미널,711,38.0260472,127.0691864
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-3PIEZPDRJXW3O2XV3TVRV3H5KV,안양공용버스터미널,684,37.3976810,126.9199196
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-EJPP4UKJVGQAIULTZC42WEHSS2,올레플라자양평점,682,37.4907398,127.4914253
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-RFG2MMJ3CO4BBBMRROUTXV5TCS,오산시외버스터미널,633,37.1517904,127.0704167
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-LCOGIQRGLRKKB7UUYNWEOH2T5T,마송정류소,513,37.6912020,126.5988594
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-EDRPDFAJJWK6JG377XY5CBPXZV,여주장,496,37.2974109,127.6336604
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-ULIQFU2V6L2NE6QCCW6MJP2OML,경기광주문예회관,488,37.4102847,127.2593433
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-K2VY7KOVUJWVTZAU4D5RIIYXEX,씨네,485,37.2798015,127.4458003
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-VUGBS7IXQMB24ZOY56NAHKR6MP,부천시외버스터미널,448,37.5043156,126.7555209
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-RIC2JUHLRJ5PJ5BKYX6QXVGOY4,가평시외버스터미널,419,37.8285132,127.5151288
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-TXWCRVA7RLKFC724C4LMN7OJBK,올레플라자이천점,419,37.2835032,127.4486622
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-7FNKJD35OUQPCXQNREOHTCMMBW,낙원역사공원,415,37.0051911,127.2731998
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-ZWUEXTFDM7B2E5HB2FCMHZEISH,안정리정류소,396,36.9605023,127.0453162
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-23A2AZWYSYONMU5V2HRXWVF7CS,평택고속터미널,396,36.9915602,127.0848718
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-2EISJBWXSLENYBIVDZ6IVDYWC6,아이큐아리움,368,37.4018752,127.1076280
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-EFCHVJSVHEUMXKCIWNQ4IK5OGC,조암공용버스터미널,353,37.0835308,126.8187790
