commercialAreaCode,commercialAreaName,commercialAreaLatitude,commercialAreaLongitude,stationQuery,stationName,lineName,stationAddress,stationLatitude,stationLongitude,distanceMeters,verificationStatus,note
GGD-GJLCAEXWUAHMXKTCD4DO6G662J,병점역,37.2072071,127.0338648,병점역,병점역,1호선,경기 화성시 병점구 진안동 824-1,37.206754501269934,127.03320150038793,77,MATCHED,
GGD-5EDBHJILWUKRE4IAVDLHXCFI5M,정부과천청사역_11번출구,37.4290855,126.9912473,정부과천청사역,정부과천청사역,4호선,경기 과천시 별양동 1,37.4265047272927,126.989868044926,312,MATCHED,
GGD-METMJ6DXCIX43ZXGWQQORMS5LQ,판교역로192번길,37.3973306,127.1115194,판교역,판교역,신분당선,경기 성남시 분당구 백현동 19-2,37.39477752734142,127.11119782955879,285,MATCHED,
GGD-METMJ6DXCIX43ZXGWQQORMS5LQ,판교역로192번길,37.3973306,127.1115194,판교역,판교역,경강선,경기 성남시 분당구 백현동 19-2,37.394775885643,127.111982699564,287,MATCHED,
GGD-6SOVRBI2ER2TRVOSICCEC74ONY,용인역북우편취급국,37.2363228,127.2054005,용인역,,,,,,,,EXCLUDED,not a current station area
GGD-OQFUCLXGOX57ZDFZTWQAC7ZTIV,범계역_1번출구,37.3907451,126.9536420,범계역,범계역,4호선,경기 안양시 동안구 호계동 1039-2,37.3897837540429,126.950783269518,274,MATCHED,
GGD-HAIG6AJHAFVDYHAAGMA5WDPROG,광명사거리역_2번출구,37.4776498,126.8577569,광명사거리역,광명사거리역,7호선,경기 광명시 광명동 158-211,37.4792983082726,126.854873735158,314,MATCHED,
GGD-LJWGG7U2LYSQKVOFLKSJCWZQW2,CGV부천역,37.4852618,126.7809075,부천역,부천역,1호선,경기 부천시 소사구 심곡본동 316-2,37.483989787369545,126.78308287157131,238,MATCHED,
GGD-6PIEZVZROW64AGREGWWYPUEFC6,부천시청역_4번출구,37.5048072,126.7663336,부천시청역,부천시청역,7호선,경기 부천시 원미구 중동 1243,37.50465563053715,126.76401384887843,205,MATCHED,
GGD-7FNKJD35OUQPCXQNREOHTCMMBW,낙원역사공원,37.0051911,127.2731998,낙원역,,,,,,,,EXCLUDED,not a current station area
GGD-UO2T45LBCGXP672KUCHJE53CHX,수원시청역_1번출구,37.2594661,127.0329058,수원시청역,수원시청역,수인분당선,경기 수원시 권선구 권선동 1122,37.2619226180172,127.030857188083,328,MATCHED,
GGD-4ZDI4NM2YQFVTMLGDIZUZFFXHP,광명사거리역_6번출구,37.4822814,126.8551648,광명사거리역,광명사거리역,7호선,경기 광명시 광명동 158-211,37.4792983082726,126.854873735158,333,MATCHED,
