recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
KEEP,카카오 SW8 검증 역세권,,GGD-2S3HFLTGVKIZJBUMNH2QRCJNDA,산본역_3번출구,1578,37.3600409,126.9314254
KEEP,상업시설·시장 계열,,GGD-KQ5TVSTGMIMVWU26ATE3KVDYQJ,이마트동백점,1549,37.2765740,127.1513476
KEEP,카카오 SW8 검증 역세권,,GGD-TNYOLABZF4BVHSPEJRLLB4CZHE,수원시청역_7번출구,1404,37.2648464,127.0294507
KEEP,카카오 SW8 검증 역세권,,GGD-GEIHGMHNLBEFE3B7GCI4KFQP5U,신중동역_3번출구,1400,37.5021214,126.7726339
KEEP,카카오 SW8 검증 역세권,,GGD-EJMTOPMOTRZB574JIQ46L57N45,서현역,1275,37.3850794,127.1234387
KEEP,카카오 SW8 검증 역세권,,GGD-MP6JQQY2ZCRLGTP4TZKDF3VBDO,수내역,1208,37.3786252,127.1144517
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-RARKV2P5IGS75LZMKYMJ6ZFQ7K,오산고속터미널,1156,37.1442444,127.0695467
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-ADGNA6VPTL4XB47QD6G7JPQW6N,경안동주민센터,1138,37.4091995,127.2567502
KEEP,카카오 SW8 검증 역세권,,GGD-OQFUCLXGOX57ZDFZTWQAC7ZTIV,범계역_1번출구,992,37.3907451,126.9536420
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-HRG2ZPOGOSU4DJOROXPRCUL6U3,고양고속터미널,956,37.6326749,126.8322101
KEEP,카카오 SW8 검증 역세권,,GGD-EGIQ3TO24HKE5W5HHKT3YQNEV5,모란역_12번출구,924,37.4316419,127.1318861
KEEP,상업시설·시장 계열,,GGD-2CI6XS3QRK3RGFTXUOT6FBSFA5,롯데시네마센트럴락,901,37.3177261,126.8397940
KEEP,상업시설·시장 계열,,GGD-M23GSOXCWQAYBCC5LQQ3UJNSLF,롯데애비뉴엘안산점,821,37.3180300,126.8351265
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-SZ6MWW55ILUO4BKER5U6JFEER4,라페스타라페스타,805,37.6603652,126.7678488
KEEP,상업시설·시장 계열,,GGD-UQAYZ6X3KY4ARCMF7WH4DFQA37,롯데시네마병점,787,37.2111794,127.0377053
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-6SOVRBI2ER2TRVOSICCEC74ONY,용인역북우편취급국,782,37.2363228,127.2054005
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-WEWNQOX7ETGUSZNM4SRJOXB2PL,삼원프라자호텔,771,37.4006156,126.9211388
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-FD4VUDGSRCOZ5YMIJFTIPA6WXU,구리시외버스정류장,751,37.5991386,127.1380657
KEEP,카카오 SW8 검증 역세권,,GGD-VG35LH34LY4XP56M2GHI5EH5SU,상동역_3번출구,732,37.5047420,126.7503863
KEEP,카카오 SW8 검증 역세권,,GGD-MFKNPVQUTAMSETRTEE57LIHRXC,정발산역,720,37.6572358,126.7712636
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-DUOZKJDWFO6QDCXCF7EOZWBKFP,전곡시외버스터미널,711,38.0260472,127.0691864
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-CK5C3EXCIXFH3SYGXF7DA2MSAS,야탑1동주민센터,710,37.4117507,127.1305758
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-KWZZL4YUVLIA7KLZFEYAF2QSAU,시흥정왕동우체국,706,37.3457803,126.7499519
KEEP,카카오 SW8 검증 역세권,,GGD-BLVFAV77CHMRO7Y7J636C6OK24,마석역,705,37.6543076,127.3062056
KEEP,카카오 SW8 검증 역세권,,GGD-YMKEVY33RNMZVBDHZCSUT6JNJM,광명사거리역,696,37.4815845,126.8566465
KEEP,상업시설·시장 계열,,GGD-FGU7HFVTO2KPBWACSWUAXB33RJ,뉴코아아울렛동수원점,694,37.2638668,127.0346274
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-3PIEZPDRJXW3O2XV3TVRV3H5KV,안양공용버스터미널,684,37.3976810,126.9199196
REVIEW,명칭만으로 추천 상권 적합성 판단 불가,,GGD-EJPP4UKJVGQAIULTZC42WEHSS2,올레플라자양평점,682,37.4907398,127.4914253
KEEP,상업시설·시장 계열,,GGD-KCUX4ZTHSGQNEHIJ3K4GGRKINN,롯데시네마송탄,681,37.0684330,127.0587263
KEEP,카카오 SW8 검증 역세권,,GGD-GVDXVIOMOR3LCJT2LPO4WQPQIM,수원역_7번출구,672,37.2683651,127.0024235
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-YLVPWMGBKQK4LRZSXZUTC4T7X3,동탄119안전센터,671,37.2063042,127.0733994
KEEP,카카오 SW8 검증 역세권,,GGD-3BKWAFIJE2QZ4LIQRAMR7P5V7J,부천시청역_3번출구,667,37.5034266,126.7612904
KEEP,상업시설·시장 계열,,GGD-Z3YFYCIZ5ZMM6HLDS7ZFGECI2M,CGV판교,663,37.3927690,127.1113020
EXCLUDE,도로·길 원본 구간명,,GGD-U22ZGJESYMBUI4A5MA3XWTVCYL,오목로225번길_1,658,37.7449596,127.0962256
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-5RA2KNC5CAEVWUBPCINYBGXPDJ,파주금촌동우체국,654,37.7614880,126.7737193
