selectionReason,reviewDecision,commercialAreaCode,commercialAreaName,areaType,latitude,longitude
대표 단일 노선 역세권,,3120003,광화문역,DEVELOPMENT,37.5719681,126.9745983
대표 단일 노선 역세권,,3120012,대학로(혜화역),DEVELOPMENT,37.5827467,127.0013246
대표 단일 노선 역세권,,3120222,삼성역,DEVELOPMENT,37.5086677,127.0631565
대표 단일 노선 역세권,,3120050,서울숲역,DEVELOPMENT,37.5422015,127.0469586
대표 단일 노선 역세권,,3120052,성수역,DEVELOPMENT,37.5446750,127.0566691
대표 단일 노선 역세권,,3120202,압구정로데오역(압구정로데오),DEVELOPMENT,37.5267699,127.0401385
대표 단일 노선 역세권,,3120046,이태원(이태원역),DEVELOPMENT,37.5349307,126.9947841
대표 단일 노선 역세권,,3120006,종각역,DEVELOPMENT,37.5703749,126.9834960
대표 상권·시장·카페거리·대학가,,3120150,63빌딩,DEVELOPMENT,37.5196885,126.9397074
대표 상권·시장·카페거리·대학가,,3120098,DMC(디지털미디어시티),DEVELOPMENT,37.5799022,126.8898010
대표 상권·시장·카페거리·대학가,,3120231,가락시장,DEVELOPMENT,37.4935489,127.1117342
대표 상권·시장·카페거리·대학가,,3120131,가산디지털단지,DEVELOPMENT,37.4771003,126.8828862
대표 상권·시장·카페거리·대학가,,3120117,강서농산물도매시장,DEVELOPMENT,37.5529056,126.8212715
대표 상권·시장·카페거리·대학가,,3120129,구로디지털단지,DEVELOPMENT,37.4840406,126.8951543
대표 상권·시장·카페거리·대학가,,3120045,남영동 먹자골목,DEVELOPMENT,37.5428656,126.9733069
대표 상권·시장·카페거리·대학가,,3120158,녹두거리(대학동),DEVELOPMENT,37.4703119,126.9370114
대표 상권·시장·카페거리·대학가,,3120028,명동(명동거리),DEVELOPMENT,37.5627885,126.9837014
대표 상권·시장·카페거리·대학가,,3120161,방배동가구거리(사당동가구거리),DEVELOPMENT,37.4949701,126.9834787
대표 상권·시장·카페거리·대학가,,3120162,방배동카페골목,DEVELOPMENT,37.4957543,126.9858081
대표 상권·시장·카페거리·대학가,,3120229,방이동먹자골목,DEVELOPMENT,37.5143825,127.1092316
대표 상권·시장·카페거리·대학가,,3120005,삼청동,DEVELOPMENT,37.5834930,126.9810590
대표 상권·시장·카페거리·대학가,,3120102,서교동(홍대),DEVELOPMENT,37.5548681,126.9175312
