recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,areaType,latitude,longitude
EXCLUDE,도로·길 원본 구간명,,3120186,가로수길,DEVELOPMENT,37.5207739,127.0225789
EXCLUDE,기준점 성격의 시설명,,3120190,강남을지병원,DEVELOPMENT,37.5200068,127.0282573
EXCLUDE,기준점 성격의 시설명,,3120122,강서구청,DEVELOPMENT,37.5525772,126.8508093
EXCLUDE,기준점 성격의 시설명,,3120206,개나리아파트,DEVELOPMENT,37.4972516,127.0441599
EXCLUDE,기준점 성격의 시설명,,3120124,개봉동 현대아파트,DEVELOPMENT,37.4888917,126.8559226
EXCLUDE,교차로·사거리·오거리 기준점,,3120216,경기고교사거리(경기고교앞사거리),DEVELOPMENT,37.5207535,127.0566170
EXCLUDE,도로·길 원본 구간명,,3120199,경복아파트교차로,DEVELOPMENT,37.5079934,127.0390088
EXCLUDE,도로·길 원본 구간명,,3120019,경찰청앞교차로,DEVELOPMENT,37.5626687,126.9698703
EXCLUDE,기준점 성격의 시설명,,3120064,경희대학교(경희대),DEVELOPMENT,37.5925108,127.0524479
EXCLUDE,도로·길 원본 구간명,,3120172,교대입구교차로,DEVELOPMENT,37.4877445,127.0125735
EXCLUDE,교차로·사거리·오거리 기준점,,3120181,교육개발원입구사거리,DEVELOPMENT,37.4771972,127.0383710
EXCLUDE,기준점 성격의 시설명,,3120127,구로구청,DEVELOPMENT,37.4966058,126.8908848
EXCLUDE,기준점 성격의 시설명,,3120134,구로전화국,DEVELOPMENT,37.4799316,126.9054145
EXCLUDE,도로·길 원본 구간명,,3120059,구삼강변맛길,DEVELOPMENT,37.5388949,127.0926685
EXCLUDE,기준점 성격의 시설명,,3120198,구역삼세무서,DEVELOPMENT,37.4955330,127.0372043
EXCLUDE,교차로·사거리·오거리 기준점,,3120058,구의사거리,DEVELOPMENT,37.5444937,127.0879228
EXCLUDE,기준점 성격의 시설명,,3120138,당산2동(영등포우체국),DEVELOPMENT,37.5295973,126.8973193
EXCLUDE,교차로·사거리·오거리 기준점,,3120139,대림3동사거리,DEVELOPMENT,37.5001619,126.8977328
EXCLUDE,교차로·사거리·오거리 기준점,,3120217,대치사거리,DEVELOPMENT,37.5030389,127.0584132
EXCLUDE,도로·길 원본 구간명,,3120193,도산공원교차로,DEVELOPMENT,37.5215642,127.0335747
EXCLUDE,기준점 성격의 시설명,,3120211,도성초등학교,DEVELOPMENT,37.5006360,127.0524627
EXCLUDE,교차로·사거리·오거리 기준점,,3120126,디지털단지오거리,DEVELOPMENT,37.4811062,126.8884426
EXCLUDE,기준점 성격의 시설명,,3120025,롯데백화점(시청광장 지하쇼핑센터),DEVELOPMENT,37.5650045,126.9807354
EXCLUDE,교차로·사거리·오거리 기준점,,3120204,르네상스호텔사거리,DEVELOPMENT,37.5030906,127.0428175
EXCLUDE,교차로·사거리·오거리 기준점,,3120111,목동사거리,DEVELOPMENT,37.5318781,126.8630921
EXCLUDE,기준점 성격의 시설명,,3120140,문래동주민센터,DEVELOPMENT,37.5147040,126.8976565
EXCLUDE,교차로·사거리·오거리 기준점,,3120073,미아사거리,DEVELOPMENT,37.6078808,127.0291399
EXCLUDE,교차로·사거리·오거리 기준점,,3120192,뱅뱅사거리,DEVELOPMENT,37.4902548,127.0314914
EXCLUDE,기준점 성격의 시설명,,3120091,본서부병원,DEVELOPMENT,37.6005606,126.9220784
EXCLUDE,교차로·사거리·오거리 기준점,,3120170,삼호가든사거리,DEVELOPMENT,37.5021428,127.0109474
EXCLUDE,기준점 성격의 시설명,,3120082,상계백병원,DEVELOPMENT,37.6479438,127.0622885
EXCLUDE,도로·길 원본 구간명,,3120168,서울고교교차로,DEVELOPMENT,37.4824742,127.0043982
EXCLUDE,기준점 성격의 시설명,,3120109,서울남부지방법원,DEVELOPMENT,37.5216752,126.8600338
EXCLUDE,기준점 성격의 시설명,,3120023,서울시청,DEVELOPMENT,37.5680314,126.9779162
EXCLUDE,기준점 성격의 시설명,,3120133,서울시흥동우체국(홈플러스시흥점),DEVELOPMENT,37.4525195,126.9013239
EXCLUDE,교차로·사거리·오거리 기준점,,3120171,서초3동사거리,DEVELOPMENT,37.4826899,127.0117699
EXCLUDE,기준점 성격의 시설명,,3120071,성북구청,DEVELOPMENT,37.5893769,127.0158967
EXCLUDE,기준점 성격의 시설명,,3120180,양재화물트럭터미널앞,DEVELOPMENT,37.4638807,127.0367930
EXCLUDE,도로·길 원본 구간명,,3120214,영동대교남단교차로,DEVELOPMENT,37.5240520,127.0547982
EXCLUDE,도로·길 원본 구간명,,3120141,영등포청과시장교차로,DEVELOPMENT,37.5211106,126.8981454
EXCLUDE,도로·길 원본 구간명,,3120144,영중로,DEVELOPMENT,37.5270900,126.9050609
EXCLUDE,교차로·사거리·오거리 기준점,,3120010,원남동사거리,DEVELOPMENT,37.5750252,126.9977359
EXCLUDE,기준점 성격의 시설명,,3120219,은마아파트,DEVELOPMENT,37.4988481,127.0606038
EXCLUDE,교차로·사거리·오거리 기준점,,3120085,은행사거리,DEVELOPMENT,37.6502237,127.0768289
EXCLUDE,교차로·사거리·오거리 기준점,,3120013,이화사거리,DEVELOPMENT,37.5749351,127.0015848
