recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,areaType,latitude,longitude
KEEP,카카오 SW8 검증 역세권,,3120234,가락시장역,DEVELOPMENT,37.4946954,127.1187244
KEEP,서울 관광특구,,3001496,강남 마이스 관광특구,TOURIST_SPECIAL,37.5110842,127.0597428
KEEP,카카오 SW8 검증 역세권,,3120209,"강남구청(청담역_8번, 강남세무서)",DEVELOPMENT,37.5187474,127.0495117
KEEP,카카오 SW8 검증 역세권,,3120203,강남구청역,DEVELOPMENT,37.5162460,127.0406872
KEEP,카카오 SW8 검증 역세권,,3120189,강남역,DEVELOPMENT,37.4975719,127.0277513
KEEP,카카오 SW8 검증 역세권,,3120242,강동구청역,DEVELOPMENT,37.5292358,127.1226822
KEEP,카카오 SW8 검증 역세권,,3120060,강변역(테크노마트),DEVELOPMENT,37.5348118,127.0946321
KEEP,카카오 SW8 검증 역세권,,3120240,개롱역,DEVELOPMENT,37.4960479,127.1346035
KEEP,카카오 SW8 검증 역세권,,3120241,거여역,DEVELOPMENT,37.4928363,127.1455437
KEEP,카카오 SW8 검증 역세권,,3120053,건대입구역(건대),DEVELOPMENT,37.5405236,127.0694180
KEEP,카카오 SW8 검증 역세권,,3120237,경찰병원역,DEVELOPMENT,37.4971710,127.1208091
KEEP,카카오 SW8 검증 역세권,,3120249,고덕역,DEVELOPMENT,37.5534167,127.1549980
KEEP,카카오 SW8 검증 역세권,,3120167,고속터미널(고속터미널역),DEVELOPMENT,37.5050534,127.0052590
KEEP,카카오 SW8 검증 역세권,,3120107,공덕역(공덕오거리),DEVELOPMENT,37.5428048,126.9519773
KEEP,카카오 SW8 검증 역세권,,3120084,공릉역,DEVELOPMENT,37.6256739,127.0736432
KEEP,카카오 SW8 검증 역세권,,3120003,광화문역,DEVELOPMENT,37.5719681,126.9745983
KEEP,카카오 SW8 검증 역세권,,3120173,교대역(법원.검찰청),DEVELOPMENT,37.4937089,127.0147796
KEEP,카카오 SW8 검증 역세권,,3120130,구로디지털단지역,DEVELOPMENT,37.4832167,126.9010574
KEEP,카카오 SW8 검증 역세권,,3120125,구로역,DEVELOPMENT,37.5022875,126.8780291
KEEP,카카오 SW8 검증 역세권,,3120088,구산역,DEVELOPMENT,37.6119367,126.9170379
KEEP,카카오 SW8 검증 역세권,,3120056,구의역,DEVELOPMENT,37.5375492,127.0849163
KEEP,카카오 SW8 검증 역세권,,3120089,구파발역,DEVELOPMENT,37.6372644,126.9184033
KEEP,카카오 SW8 검증 역세권,,3120148,국회의사당역(국회의사당),DEVELOPMENT,37.5285521,126.9207392
KEEP,카카오 SW8 검증 역세권,,3120055,군자역,DEVELOPMENT,37.5571318,127.0793476
KEEP,카카오 SW8 검증 역세권,,3120247,굽은다리역,DEVELOPMENT,37.5458188,127.1426479
KEEP,카카오 SW8 검증 역세권,,3120048,금호역,DEVELOPMENT,37.5483000,127.0196337
KEEP,카카오 SW8 검증 역세권,,3120246,길동역,DEVELOPMENT,37.5364716,127.1382967
KEEP,카카오 SW8 검증 역세권,,3120115,김포공항역(김포공항),DEVELOPMENT,37.5669394,126.8020182
KEEP,카카오 SW8 검증 역세권,,3120121,까치산역,DEVELOPMENT,37.5301650,126.8474260
KEEP,카카오 SW8 검증 역세권,,3120175,남부터미널역,DEVELOPMENT,37.4851129,127.0181134
KEEP,카카오 SW8 검증 역세권,,3120164,내방역,DEVELOPMENT,37.4881865,126.9936227
KEEP,카카오 SW8 검증 역세권,,3120153,노량진역(노량진),DEVELOPMENT,37.5140034,126.9402662
KEEP,카카오 SW8 검증 역세권,,3120081,노원역,DEVELOPMENT,37.6554671,127.0621814
KEEP,카카오 SW8 검증 역세권,,3120185,논현역,DEVELOPMENT,37.5110432,127.0218974
KEEP,카카오 SW8 검증 역세권,,3120176,논현역 4번,DEVELOPMENT,37.5084128,127.0188428
KEEP,카카오 SW8 검증 역세권,,3120174,논현역 5번,DEVELOPMENT,37.5106025,127.0166491
KEEP,카카오 SW8 검증 역세권,,3120143,당산역,DEVELOPMENT,37.5347543,126.9011365
KEEP,카카오 SW8 검증 역세권,,3120142,대림역,DEVELOPMENT,37.4940621,126.8977525
KEEP,카카오 SW8 검증 역세권,,3120220,대치역,DEVELOPMENT,37.4941890,127.0622849
KEEP,카카오 SW8 검증 역세권,,3120012,대학로(혜화역),DEVELOPMENT,37.5827467,127.0013246
KEEP,카카오 SW8 검증 역세권,,3120016,동대문역,DEVELOPMENT,37.5712315,127.0113763
KEEP,카카오 SW8 검증 역세권,,3120037,동대문역사문화공원역,DEVELOPMENT,37.5654564,127.0073799
KEEP,서울 관광특구,,3001493,동대문패션타운 관광특구,TOURIST_SPECIAL,37.5673211,127.0112739
KEEP,카카오 SW8 검증 역세권,,3120017,동묘앞역(동묘),DEVELOPMENT,37.5727448,127.0146480
KEEP,카카오 SW8 검증 역세권,,3120245,둔촌역,DEVELOPMENT,37.5263393,127.1349181
KEEP,카카오 SW8 검증 역세권,,3120112,등촌역,DEVELOPMENT,37.5509181,126.8647208
KEEP,카카오 SW8 검증 역세권,,3120051,뚝섬역,DEVELOPMENT,37.5466789,127.0484212
KEEP,카카오 SW8 검증 역세권,,3120118,마곡역(마곡),DEVELOPMENT,37.5599688,126.8268796
KEEP,카카오 SW8 검증 역세권,,3120080,마들역,DEVELOPMENT,37.6659299,127.0574638
KEEP,카카오 SW8 검증 역세권,,3120106,마포역,DEVELOPMENT,37.5399370,126.9460162
KEEP,카카오 SW8 검증 역세권,,3120100,망원역,DEVELOPMENT,37.5553585,126.9104574
KEEP,카카오 SW8 검증 역세권,,3120205,매봉역,DEVELOPMENT,37.4843583,127.0438922
KEEP,서울 관광특구,,3001492,명동 남대문 북창동 다동 무교동 관광특구,TOURIST_SPECIAL,37.5640587,126.9818562
KEEP,카카오 SW8 검증 역세권,,3120027,명동역(명동재미로),DEVELOPMENT,37.5597702,126.9837926
KEEP,카카오 SW8 검증 역세권,,3120248,명일역,DEVELOPMENT,37.5512497,127.1443784
KEEP,카카오 SW8 검증 역세권,,3120110,목동역 8번출구,DEVELOPMENT,37.5257495,126.8615081
KEEP,카카오 SW8 검증 역세권,,3120233,몽촌토성역,DEVELOPMENT,37.5159643,127.1134530
KEEP,카카오 SW8 검증 역세권,,3120137,문래역(문래로데오거리),DEVELOPMENT,37.5178922,126.8961024
KEEP,카카오 SW8 검증 역세권,,3120235,문정역,DEVELOPMENT,37.4855129,127.1199423
KEEP,카카오 SW8 검증 역세권,,3120078,미아사거리역,DEVELOPMENT,37.6126015,127.0309313
KEEP,카카오 SW8 검증 역세권,,3120077,미아역,DEVELOPMENT,37.6256670,127.0259297
KEEP,카카오 SW8 검증 역세권,,3120119,발산역(마곡),DEVELOPMENT,37.5599273,126.8356851
KEEP,카카오 SW8 검증 역세권,,3120166,방배역,DEVELOPMENT,37.4816634,126.9972639
KEEP,카카오 SW8 검증 역세권,,3120238,방이역,DEVELOPMENT,37.5092397,127.1253979
KEEP,카카오 SW8 검증 역세권,,3120147,보라매역,DEVELOPMENT,37.4993418,126.9210528
KEEP,카카오 SW8 검증 역세권,,3120221,봉은사역,DEVELOPMENT,37.5144616,127.0623923
KEEP,카카오 SW8 검증 역세권,,3120022,북창동(시청역_6번),DEVELOPMENT,37.5630218,126.9776460
KEEP,카카오 SW8 검증 역세권,,3120007,북촌(안국역),DEVELOPMENT,37.5791599,126.9857470
KEEP,카카오 SW8 검증 역세권,,3120092,불광역,DEVELOPMENT,37.6086111,126.9294428
KEEP,카카오 SW8 검증 역세권,,3120068,사가정역,DEVELOPMENT,37.5811100,127.0881244
KEEP,카카오 SW8 검증 역세권,,3120163,사당역 11번(사당역먹자골목),DEVELOPMENT,37.4794100,126.9858111
KEEP,카카오 SW8 검증 역세권,,3120160,사당역(사당),DEVELOPMENT,37.4775264,126.9820694
KEEP,카카오 SW8 검증 역세권,,3120044,삼각지역,DEVELOPMENT,37.5339186,126.9732761
KEEP,카카오 SW8 검증 역세권,,3120222,삼성역,DEVELOPMENT,37.5086677,127.0631565
KEEP,카카오 SW8 검증 역세권,,3120213,삼성중앙역,DEVELOPMENT,37.5115556,127.0537485
KEEP,카카오 SW8 검증 역세권,,3120069,상봉역,DEVELOPMENT,37.5963731,127.0877574
KEEP,카카오 SW8 검증 역세권,,3120105,상수역(홍대),DEVELOPMENT,37.5483667,126.9231512
KEEP,카카오 SW8 검증 역세권,,3120001,서대문역,DEVELOPMENT,37.5666771,126.9660882
KEEP,카카오 SW8 검증 역세권,,3120159,서울대입구역,DEVELOPMENT,37.4809508,126.9519152
KEEP,카카오 SW8 검증 역세권,,3120050,서울숲역,DEVELOPMENT,37.5422015,127.0469586
KEEP,카카오 SW8 검증 역세권,,3120043,서울역,DEVELOPMENT,37.5563535,126.9729399
KEEP,카카오 SW8 검증 역세권,,3120169,서초역,DEVELOPMENT,37.4914660,127.0085938
KEEP,카카오 SW8 검증 역세권,,3120002,서촌(경복궁역),DEVELOPMENT,37.5792835,126.9718222
KEEP,카카오 SW8 검증 역세권,,3120226,석촌고분역,DEVELOPMENT,37.5033198,127.0970465
KEEP,카카오 SW8 검증 역세권,,3120228,석촌역(석촌호수),DEVELOPMENT,37.5060236,127.1065390
KEEP,카카오 SW8 검증 역세권,,3120210,선릉역,DEVELOPMENT,37.5046107,127.0493553
KEEP,카카오 SW8 검증 역세권,,3120207,선정릉역,DEVELOPMENT,37.5114689,127.0454916
KEEP,카카오 SW8 검증 역세권,,3120052,성수역,DEVELOPMENT,37.5446750,127.0566691
KEEP,카카오 SW8 검증 역세권,,3120116,송정역,DEVELOPMENT,37.5613838,126.8096161
KEEP,카카오 SW8 검증 역세권,,3120232,송파나루역,DEVELOPMENT,37.5101271,127.1120417
