recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,areaType,latitude,longitude
REVIEW,대표 상권명 여부 개별 검토 필요,,3120150,63빌딩,DEVELOPMENT,37.5196885,126.9397074
REVIEW,대표 상권명 여부 개별 검토 필요,,3120098,DMC(디지털미디어시티),DEVELOPMENT,37.5799022,126.8898010
REVIEW,대표 상권명 여부 개별 검토 필요,,3120231,가락시장,DEVELOPMENT,37.4935489,127.1117342
REVIEW,대표 상권명 여부 개별 검토 필요,,3120131,가산디지털단지,DEVELOPMENT,37.4771003,126.8828862
REVIEW,대표 상권명 여부 개별 검토 필요,,3120117,강서농산물도매시장,DEVELOPMENT,37.5529056,126.8212715
REVIEW,대표 상권명 여부 개별 검토 필요,,3120129,구로디지털단지,DEVELOPMENT,37.4840406,126.8951543
REVIEW,대표 상권명 여부 개별 검토 필요,,3120045,남영동 먹자골목,DEVELOPMENT,37.5428656,126.9733069
REVIEW,대표 상권명 여부 개별 검토 필요,,3120158,녹두거리(대학동),DEVELOPMENT,37.4703119,126.9370114
REVIEW,대표 상권명 여부 개별 검토 필요,,3120201,도곡1동,DEVELOPMENT,37.4925678,127.0399280
REVIEW,대표 상권명 여부 개별 검토 필요,,3120132,독산동,DEVELOPMENT,37.4707406,126.8938955
REVIEW,대표 상권명 여부 개별 검토 필요,,3120083,등나무근린공원,DEVELOPMENT,37.6399228,127.0664286
REVIEW,대표 상권명 여부 개별 검토 필요,,3120028,명동(명동거리),DEVELOPMENT,37.5627885,126.9837014
REVIEW,대표 상권명 여부 개별 검토 필요,,3120114,목동신시가지,DEVELOPMENT,37.5311440,126.8754253
REVIEW,대표 상권명 여부 개별 검토 필요,,3120161,방배동가구거리(사당동가구거리),DEVELOPMENT,37.4949701,126.9834787
REVIEW,대표 상권명 여부 개별 검토 필요,,3120162,방배동카페골목,DEVELOPMENT,37.4957543,126.9858081
REVIEW,대표 상권명 여부 개별 검토 필요,,3120229,방이동먹자골목,DEVELOPMENT,37.5143825,127.1092316
REVIEW,대표 상권명 여부 개별 검토 필요,,3120151,보라매공원,DEVELOPMENT,37.4912263,126.9250304
REVIEW,대표 상권명 여부 개별 검토 필요,,3120005,삼청동,DEVELOPMENT,37.5834930,126.9810590
REVIEW,대표 상권명 여부 개별 검토 필요,,3120102,서교동(홍대),DEVELOPMENT,37.5548681,126.9175312
REVIEW,대표 상권명 여부 개별 검토 필요,,3120165,서래마을카페거리(서래마을),DEVELOPMENT,37.4980797,126.9980775
REVIEW,대표 상권명 여부 개별 검토 필요,,3120196,서울세관,DEVELOPMENT,37.5153287,127.0353477
REVIEW,대표 상권명 여부 개별 검토 필요,,3120195,성수대교남단,DEVELOPMENT,37.5276727,127.0344598
REVIEW,대표 상권명 여부 개별 검토 필요,,3120072,성신여대,DEVELOPMENT,37.5923680,127.0174939
REVIEW,대표 상권명 여부 개별 검토 필요,,3120183,양재천카페거리,DEVELOPMENT,37.4805922,127.0434830
REVIEW,대표 상권명 여부 개별 검토 필요,,3120104,연남동(홍대),DEVELOPMENT,37.5600702,126.9224715
REVIEW,대표 상권명 여부 개별 검토 필요,,3120093,연희동,DEVELOPMENT,37.5668594,126.9299916
REVIEW,대표 상권명 여부 개별 검토 필요,,3120061,올림픽대교북단,DEVELOPMENT,37.5407214,127.0958163
REVIEW,대표 상권명 여부 개별 검토 필요,,3120029,을지로2가,DEVELOPMENT,37.5651945,126.9859534
REVIEW,대표 상권명 여부 개별 검토 필요,,3120008,인사동,DEVELOPMENT,37.5739070,126.9852272
REVIEW,대표 상권명 여부 개별 검토 필요,,3120036,장충동족발거리(남소영길),DEVELOPMENT,37.5600145,127.0055006
REVIEW,대표 상권명 여부 개별 검토 필요,,3120011,종로4가,DEVELOPMENT,37.5711509,126.9975889
REVIEW,대표 상권명 여부 개별 검토 필요,,3120015,종로6가,DEVELOPMENT,37.5721058,127.0070296
REVIEW,대표 상권명 여부 개별 검토 필요,,3120018,중림동,DEVELOPMENT,37.5594966,126.9676646
REVIEW,대표 상권명 여부 개별 검토 필요,,3120218,코엑스,DEVELOPMENT,37.5121657,127.0591102
REVIEW,대표 상권명 여부 개별 검토 필요,,3120035,퇴계로5가,DEVELOPMENT,37.5634294,127.0019468
