commercial_area_external_code	station_name	line_name	station_address	station_latitude	station_longitude	distance_meters
GGD-OQFUCLXGOX57ZDFZTWQAC7ZTIV	범계역	4호선	경기 안양시 동안구 호계동 1039-2	37.3897837540429	126.950783269518	274
GGD-GVDXVIOMOR3LCJT2LPO4WQPQIM	수원역	1호선	경기 수원시 팔달구 매산로1가 18	37.26568218296588	127.00004960484385	365
GGD-GVDXVIOMOR3LCJT2LPO4WQPQIM	수원역	수인분당선	경기 수원시 팔달구 매산로1가 18	37.26628317764347	127.00024802619026	301
GGD-EGIQ3TO24HKE5W5HHKT3YQNEV5	모란역	8호선	경기 성남시 수정구 수진동 4518	37.4340382896277	127.129970457799	316
GGD-EGIQ3TO24HKE5W5HHKT3YQNEV5	모란역	수인분당선	경기 성남시 중원구 성남동 1575	37.432056973841604	127.12913205625071	248
GGD-TNYOLABZF4BVHSPEJRLLB4CZHE	수원시청역	수인분당선	경기 수원시 권선구 권선동 1122	37.2619226180172	127.030857188083	348
GGD-2S3HFLTGVKIZJBUMNH2QRCJNDA	산본역	4호선	경기 군포시 산본동 1231	37.3580193085257	126.933046329836	267
GGD-EJMTOPMOTRZB574JIQ46L57N45	서현역	수인분당선	경기 성남시 분당구 서현동 263	37.3850154269126	127.123431479636	7
GGD-MFKNPVQUTAMSETRTEE57LIHRXC	정발산역	3호선	경기 고양시 일산동구 마두동 1123	37.659480619983	126.773405960872	313
GGD-3BKWAFIJE2QZ4LIQRAMR7P5V7J	부천시청역	7호선	경기 부천시 원미구 중동 1243	37.50465563053715	126.76401384887843	276
GGD-BLVFAV77CHMRO7Y7J636C6OK24	마석역	경춘선	경기 남양주시 화도읍 마석우리 222-2	37.652792215501	127.311686554885	511
GGD-YMKEVY33RNMZVBDHZCSUT6JNJM	광명사거리역	7호선	경기 광명시 광명동 158-211	37.4792983082726	126.854873735158	298
GGD-GEIHGMHNLBEFE3B7GCI4KFQP5U	신중동역	7호선	경기 부천시 원미구 중동 1140-6	37.50295164139924	126.77689833819102	387
GGD-VG35LH34LY4XP56M2GHI5EH5SU	상동역	7호선	경기 부천시 원미구 상동 633	37.50578860265	126.753192450274	274
GGD-MP6JQQY2ZCRLGTP4TZKDF3VBDO	수내역	수인분당선	경기 성남시 분당구 수내동 14	37.3784687674046	127.114288846291	23
