source	external_code	area_type	area_name	latitude	longitude	district_code	district_name	administrative_dong_code	administrative_dong_name
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-2CI6XS3QRK3RGFTXUOT6FBSFA5	DEVELOPMENT	롯데시네마센트럴락	37.3177261	126.8397940				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-2S3HFLTGVKIZJBUMNH2QRCJNDA	DEVELOPMENT	산본역_3번출구	37.3600409	126.9314254				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-3BKWAFIJE2QZ4LIQRAMR7P5V7J	DEVELOPMENT	부천시청역_3번출구	37.5034266	126.7612904				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-BLVFAV77CHMRO7Y7J636C6OK24	DEVELOPMENT	마석역	37.6543076	127.3062056				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-EGIQ3TO24HKE5W5HHKT3YQNEV5	DEVELOPMENT	모란역_12번출구	37.4316419	127.1318861				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-EJMTOPMOTRZB574JIQ46L57N45	DEVELOPMENT	서현역	37.3850794	127.1234387				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-FGU7HFVTO2KPBWACSWUAXB33RJ	DEVELOPMENT	뉴코아아울렛동수원점	37.2638668	127.0346274				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-GEIHGMHNLBEFE3B7GCI4KFQP5U	DEVELOPMENT	신중동역_3번출구	37.5021214	126.7726339				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-GVDXVIOMOR3LCJT2LPO4WQPQIM	DEVELOPMENT	수원역_7번출구	37.2683651	127.0024235				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-KCUX4ZTHSGQNEHIJ3K4GGRKINN	DEVELOPMENT	롯데시네마송탄	37.0684330	127.0587263				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-KQ5TVSTGMIMVWU26ATE3KVDYQJ	DEVELOPMENT	이마트동백점	37.2765740	127.1513476				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-M23GSOXCWQAYBCC5LQQ3UJNSLF	DEVELOPMENT	롯데애비뉴엘안산점	37.3180300	126.8351265				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-MFKNPVQUTAMSETRTEE57LIHRXC	DEVELOPMENT	정발산역	37.6572358	126.7712636				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-MP6JQQY2ZCRLGTP4TZKDF3VBDO	DEVELOPMENT	수내역	37.3786252	127.1144517				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-OQFUCLXGOX57ZDFZTWQAC7ZTIV	DEVELOPMENT	범계역_1번출구	37.3907451	126.9536420				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-TNYOLABZF4BVHSPEJRLLB4CZHE	DEVELOPMENT	수원시청역_7번출구	37.2648464	127.0294507				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-UQAYZ6X3KY4ARCMF7WH4DFQA37	DEVELOPMENT	롯데시네마병점	37.2111794	127.0377053				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-VG35LH34LY4XP56M2GHI5EH5SU	DEVELOPMENT	상동역_3번출구	37.5047420	126.7503863				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-YMKEVY33RNMZVBDHZCSUT6JNJM	DEVELOPMENT	광명사거리역	37.4815845	126.8566465				
GYEONGGI_DEVELOPMENT_COMMERCIAL	GGD-Z3YFYCIZ5ZMM6HLDS7ZFGECI2M	DEVELOPMENT	CGV판교	37.3927690	127.1113020				
